TIME;SEX;GEO;AGE;Value
2019;Male;17: Área Metropolitana de Lisboa;101 anos;13
2019;Male;17: Área Metropolitana de Lisboa;102 anos;7
2019;Male;17: Área Metropolitana de Lisboa;103 anos;3
2019;Male;17: Área Metropolitana de Lisboa;104 anos;5
2019;Male;17: Área Metropolitana de Lisboa;105 anos;2
2019;Male;17: Área Metropolitana de Lisboa;106 anos;0
2019;Male;17: Área Metropolitana de Lisboa;107 anos;0
2019;Male;17: Área Metropolitana de Lisboa;108 anos;0
2019;Male;17: Área Metropolitana de Lisboa;109 anos;0
2019;Male;17: Área Metropolitana de Lisboa;110 anos;0
2019;Male;17: Área Metropolitana de Lisboa;111 anos;0
2019;Male;17: Área Metropolitana de Lisboa;112 anos;0
2019;Male;17: Área Metropolitana de Lisboa;113 anos;0
2019;Male;17: Área Metropolitana de Lisboa;114 anos;0
2019;Male;17: Área Metropolitana de Lisboa;115 anos;0
2019;Male;17: Área Metropolitana de Lisboa;116 anos;0
2019;Male;17: Área Metropolitana de Lisboa;117 anos;0
2019;Male;17: Área Metropolitana de Lisboa;118 anos;0
2019;Male;17: Área Metropolitana de Lisboa;119 anos;0
2019;Male;17: Área Metropolitana de Lisboa;120 e mais anos;0
2019;Male;18: Alentejo;Menos de 1 ano;13
2019;Male;18: Alentejo;1 ano;0
2019;Male;18: Alentejo;2 anos;0
2019;Male;18: Alentejo;3 anos;1
2019;Male;18: Alentejo;4 anos;0
2019;Male;18: Alentejo;5 anos;1
2019;Male;18: Alentejo;6 anos;0
2019;Male;18: Alentejo;7 anos;0
2019;Male;18: Alentejo;8 anos;2
2019;Male;18: Alentejo;9 anos;0
2019;Male;18: Alentejo;10 anos;0
2019;Male;18: Alentejo;11 anos;0
2019;Male;18: Alentejo;12 anos;0
2019;Male;18: Alentejo;13 anos;1
2019;Male;18: Alentejo;14 anos;0
2019;Male;18: Alentejo;15 anos;1
2019;Male;18: Alentejo;16 anos;0
2019;Male;18: Alentejo;17 anos;0
2019;Male;18: Alentejo;18 anos;1
2019;Male;18: Alentejo;19 anos;1
2019;Male;18: Alentejo;20 anos;1
2019;Male;18: Alentejo;21 anos;3
2019;Male;18: Alentejo;22 anos;2
2019;Male;18: Alentejo;23 anos;4
2019;Male;18: Alentejo;24 anos;2
2019;Male;18: Alentejo;25 anos;4
2019;Male;18: Alentejo;26 anos;3
