"SEX","GEO","TIME","AGE","UNIT","Value","Flag and Footnotes"
"Males","Portugal","1993","62 years","Number","51,322",""
"Males","Portugal","1993","63 years","Number","48,097",""
"Males","Portugal","1993","64 years","Number","48,155",""
"Males","Portugal","1993","65 years","Number","44,992",""
"Males","Portugal","1993","66 years","Number","46,327",""
"Males","Portugal","1993","67 years","Number","44,510",""
"Males","Portugal","1993","68 years","Number","43,026",""
"Males","Portugal","1993","69 years","Number","40,407",""
"Males","Portugal","1993","70 years","Number","37,832",""
"Males","Portugal","1993","71 years","Number","36,209",""
"Males","Portugal","1993","72 years","Number","35,124",""
"Males","Portugal","1993","73 years","Number","28,858",""
"Males","Portugal","1993","74 years","Number","24,829",""
"Males","Portugal","1993","75 years","Number","24,668",""
"Males","Portugal","1993","76 years","Number","23,398",""
"Males","Portugal","1993","77 years","Number","22,305",""
"Males","Portugal","1993","78 years","Number","21,234",""
"Males","Portugal","1993","79 years","Number","19,099",""
"Males","Portugal","1993","80 years","Number","17,192",""
"Males","Portugal","1993","81 years","Number","15,339",""
"Males","Portugal","1993","82 years","Number","13,824",""
"Males","Portugal","1993","83 years","Number","11,176",""
"Males","Portugal","1993","84 years","Number","8,651",""
"Males","Portugal","1993","85 years","Number","7,346",""
"Males","Portugal","1993","86 years","Number","5,665",""
"Males","Portugal","1993","87 years","Number","4,115",""
"Males","Portugal","1993","88 years","Number","3,342",""
"Males","Portugal","1993","89 years","Number","2,513",""
"Males","Portugal","1993","90 years","Number","1,839",""
"Males","Portugal","1993","91 years","Number","1,517",""
"Males","Portugal","1993","92 years","Number","931",""
"Males","Portugal","1993","93 years","Number","556",""
"Males","Portugal","1993","94 years","Number","321",""
"Males","Portugal","1993","95 years","Number","306",""
"Males","Portugal","1993","96 years","Number","209",""
"Males","Portugal","1993","97 years","Number","141",""
"Males","Portugal","1993","98 years","Number","106",""
"Males","Portugal","1993","99 years","Number","77",""
"Males","Portugal","1993","Open-ended age class","Number","282",""
"Males","Portugal","1994","Less than 1 year","Number","57,619",""
"Males","Portugal","1994","1 year","Number","57,632",""
"Males","Portugal","1994","2 years","Number","58,248",""
"Males","Portugal","1994","3 years","Number","55,527",""
"Males","Portugal","1994","4 years","Number","56,292",""
"Males","Portugal","1994","5 years","Number","55,055",""
"Males","Portugal","1994","6 years","Number","56,307",""
"Males","Portugal","1994","7 years","Number","57,933",""
"Males","Portugal","1994","8 years","Number","61,122",""
"Males","Portugal","1994","9 years","Number","64,873",""
"Males","Portugal","1994","10 years","Number","67,099",""
"Males","Portugal","1994","11 years","Number","69,898",""
"Males","Portugal","1994","12 years","Number","71,414",""
"Males","Portugal","1994","13 years","Number","74,764",""
"Males","Portugal","1994","14 years","Number","75,652",""
"Males","Portugal","1994","15 years","Number","77,305",""
"Males","Portugal","1994","16 years","Number","82,190",""
"Males","Portugal","1994","17 years","Number","85,876",""
"Males","Portugal","1994","18 years","Number","87,034",""
"Males","Portugal","1994","19 years","Number","84,819",""
"Males","Portugal","1994","20 years","Number","82,450",""
"Males","Portugal","1994","21 years","Number","82,487",""
"Males","Portugal","1994","22 years","Number","80,877",""
"Males","Portugal","1994","23 years","Number","79,307",""
"Males","Portugal","1994","24 years","Number","76,293",""
"Males","Portugal","1994","25 years","Number","75,204",""
"Males","Portugal","1994","26 years","Number","73,879",""
